Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Piso;82.0;3;2;0.0;En buen estado;169900.0;192952.13;2158.77;11059.0;30673.0
Piso;80.0;3;1;5.0;A reformar;142000.0;204509.83;2052.7;11788.0;34016.0
Chalet pareado;256.0;5;4;0.0;En buen estado;709900.0;611624.62;2519.64;19257.0;58788.0
Piso;145.0;3;2;2.0;En buen estado;700000.0;1028586.4;4151.27;27167.0;86403.0
Piso;147.0;3;3;1.0;Reformado;315000.0;246055.29;2777.76;12275.0;32050.0
Piso;84.0;1;2;0.0;En buen estado;210000.0;246055.29;2777.76;12275.0;32050.0
Piso;100.0;3;2;4.0;En buen estado;210000.0;204509.83;2052.7;11788.0;34016.0
Piso;64.0;2;1;2.0;En buen estado;159000.0;277223.0;2996.8;10797.0;30023.0
Piso;162.0;4;2;4.0;En buen estado;372000.0;242575.4;2307.17;13120.0;34335.0
Chalet;650.0;7;7;0.0;En buen estado;890000.0;611624.62;2519.64;19257.0;58788.0
Chalet;246.0;3;3;0.0;A estrenar;477300.0;290766.43;2029.47;12566.0;34529.0
Estudio;43.0;1;1;0.0;A estrenar;160000.0;682685.09;4200.49;20500.0;54316.0
Dúplex;91.0;2;2;1.0;En buen estado;179000.0;383333.33;1787.95;13284.0;35814.0
Ático;139.0;3;2;2.0;A reformar;420000.0;246055.29;2777.76;12275.0;32050.0
Piso;169.0;4;2;1.0;A estrenar;812680.0;468570.0;5082.27;20103.0;46699.0
Estudio;92.0;1;1;0.0;En buen estado;144900.0;242575.4;2307.17;13120.0;34335.0
Piso;122.0;2;1;1.0;A estrenar;735000.0;1471095.24;6128.53;28233.0;69670.0
Piso;91.0;2;2;6.0;A reformar;475000.0;1474913.24;9115.3;25956.0;60217.0
Piso;88.0;3;2;1.0;A estrenar;548000.0;734591.73;3773.82;21254.0;65428.0
Ático;278.0;3;3;3.0;En buen estado;425000.0;320904.52;2307.83;12745.0;36317.0
Piso;108.0;3;2;0.0;Reformado;289990.0;186396.42;1864.74;10251.0;30961.0
Piso;89.0;2;1;0.5;Reformado;210000.0;221354.76;2379.6;13993.0;36837.0
Piso;95.0;3;2;2.0;En buen estado;209900.0;252175.0;1642.62;13252.0;39657.0
Piso;204.0;5;3;6.0;A reformar;1325000.0;1533912.0;8661.73;23925.0;57448.0
Piso;76.0;3;1;0.0;En buen estado;244000.0;525900.0;2577.72;17359.0;54713.0
Piso;57.0;2;1;1.0;En buen estado;220000.0;1235417.65;4893.34;20671.0;55125.0
Piso;89.0;3;1;3.0;Reformado;295000.0;296686.5;3182.53;13719.0;33790.0
Piso;52.0;2;2;1.0;A estrenar;611000.0;1235417.65;4893.34;20671.0;55125.0
Ático;136.0;3;2;7.0;En buen estado;370000.0;192952.13;2158.77;11059.0;30673.0
Piso;113.0;3;2;4.0;En buen estado;340000.0;246055.29;2777.76;12275.0;32050.0
Chalet;300.0;4;3;0.0;En buen estado;540000.0;615000.0;1858.33;16646.0;52328.0
Piso;100.0;3;2;5.0;En buen estado;195000.0;246055.29;2777.76;12275.0;32050.0
Piso;194.0;4;3;2.0;En buen estado;965000.0;1616817.59;7863.47;25275.0;56281.0
Piso;80.0;2;2;1.0;En buen estado;145000.0;272592.86;2017.34;14005.0;42553.0
Piso;92.0;3;1;1.0;En buen estado;248000.0;381560.93;3252.04;15115.0;39321.0
Piso;89.0;3;2;1.0;En buen estado;183500.0;242575.4;2307.17;13120.0;34335.0
Piso;109.0;3;1;3.0;Reformado;190000.0;507866.67;2564.12;15757.0;46101.0
Piso;164.0;3;2;1.0;En buen estado;585000.0;806473.17;3809.79;21248.0;66390.0
Piso;89.0;3;1;1.0;En buen estado;220900.0;221354.76;2379.6;13993.0;36837.0
Piso;47.0;2;2;1.0;A estrenar;161357.0;260408.74;2079.61;13327.0;39791.0
Piso;156.0;5;3;1.0;A reformar;750000.0;1336621.11;4954.85;24659.0;63205.0
Apartamento;40.0;1;1;3.0;En buen estado;115000.0;215122.72;1537.09;12779.0;35897.0
Piso;250.0;4;2;8.0;En buen estado;295000.0;320904.52;2307.83;12745.0;36317.0
Apartamento;73.0;1;1;1.0;En buen estado;182000.0;820931.96;2942.56;16370.999999999998;45647.0
Piso;84.0;3;1;2.0;A reformar;198000.0;380846.08;3210.44;19394.0;57962.0
Piso;88.0;3;2;1.0;A estrenar;548000.0;734591.73;3773.82;21254.0;65428.0
Piso;91.0;2;2;1.0;En buen estado;560000.0;1028586.4;4151.27;27167.0;86403.0
Ático;53.0;2;1;8.0;A reformar;198000.0;277223.0;2996.8;10797.0;30023.0
Casa;177.0;4;3;0.0;A estrenar;430000.0;320904.52;2307.83;12745.0;36317.0
Piso;130.0;3;2;4.0;En buen estado;310000.0;292565.38;2668.12;13600.0;37800.0
Casa adosada;207.0;3;3;0.0;En buen estado;487000.0;525900.0;2577.72;17359.0;54713.0
Piso;95.0;3;1;3.0;Reformado;319900.0;277223.0;2996.8;10797.0;30023.0
