;TipoVivienda
0;Piso
1;Casa
2;Ático
3;Apartamento
4;Casa adosada
5;Chalet
6;Dúplex
7;Estudio
8;Chalet adosado
9;Casa pareada
10;Chalet unifamiliar
11;Loft
12;Chalet pareado
13;Casa unifamiliar
